Worker,Colony,Worker,Species,Task,Femur,Tibia,Thorax,Scape,Head Width,Head Height,Log_Femur,Log_HW ,Log_Tibia,Log_Scape,Log_HH,Log_Thorax,Group
SYLC21W15,SYLC21,,Formica glacialis,NB,,,,,1.176,,,,,,,,Subterranean
SYLC21W16,SYLC21,,Formica glacialis,NB,,,,,1.073,,,,,,,,Subterranean
SYLC21W17,SYLC21,,Formica glacialis,NB,,,,,1.101,,,,,,,,Subterranean
SYLC21W18,SYLC21,,Formica glacialis,PF,,,,,1.157,,,,,,,,Subterranean
SYLC21W19,SYLC21,,Formica glacialis,PF,,,,,1.131,,,,,,,,Subterranean
SYLC21W20,SYLC21,,Formica glacialis,PF,,,,,1.127,,,,,,,,Subterranean
SYLC21W21,SYLC21,,Formica glacialis,PF,,,,,1.169,,,,,,,,Subterranean
SYLC21W22,SYLC21,,Formica glacialis,PF,,,,,1.15,,,,,,,,Subterranean
SYLC21W23,SYLC21,,Formica glacialis,PF,,,,,1.128,,,,,,,,Subterranean
SYLC21W24,SYLC21,,Formica glacialis,PF,,,,,1.025,,,,,,,,Subterranean
SYLC21W25,SYLC21,,Formica glacialis,PF,,,,,1.213,,,,,,,,Subterranean
SYLC2W2,SYLC2,2,Formica glacialis,HC,1.46,1.464,1.892,1.266,1.106,1.289,0.164352856,0.043755127,0.165541077,0.102433706,0.110252917,0.276921132,Subterranean
SYLC2W3,SYLC2,3,Formica glacialis,HC,1.681,1.643,2.093,1.479,1.294,1.499,0.225567713,0.111934276,0.215637563,0.169968174,0.175801633,0.320769228,Subterranean
SYLC2W4,SYLC2,4,Formica glacialis,HC,1.427,1.452,1.959,1.304,1.126,1.126,0.154423973,0.051538391,0.161966616,0.115277591,0.051538391,0.292034436,Subterranean
SYLC2W5,SYLC2,5,Formica glacialis,HC,1.771,1.733,2.242,1.541,1.362,1.578,0.248218561,0.134177108,0.238798563,0.187802639,0.198106999,0.350635608,Subterranean
SYLC2W6,SYLC2,6,Formica glacialis,HC,1.655,1.635,2.164,1.443,1.286,1.48,0.218797998,0.109240969,0.213517757,0.159266331,0.170261715,0.335257256,Subterranean
SYLC2W10,SYLC2,10,Formica glacialis,NB,1.715,1.85,2.257,1.533,1.39,1.55,0.234264124,0.1430148,0.267171728,0.185542155,0.190331698,0.353531559,Subterranean
SYLC2W11,SYLC2,11,Formica glacialis,NB,1.906,1.779,2.484,1.608,1.489,1.652,0.280122896,0.172894698,0.250175948,0.206286044,0.218010043,0.395151592,Subterranean
SYLC2W12,SYLC2,12,Formica glacialis,NB,1.848,1.886,2.303,1.601,1.47,1.612,0.266701967,0.167317335,0.275541688,0.204391332,0.207365037,0.362293938,Subterranean
SYLC2W13,SYLC2,13,Formica glacialis,NB,1.682,1.711,2.19,1.421,1.322,1.462,0.225825991,0.121231455,0.23325001,0.152594078,0.164947373,0.340444115,Subterranean
SYLC2W14,SYLC2,14,Formica glacialis,NB,1.61,1.553,2.088,1.41,1.228,1.424,0.206825876,0.089198367,0.191171456,0.149219113,0.153509989,0.319730494,Subterranean
SYLC2W18,SYLC2,18,Formica glacialis,PF,1.73,1.709,2.397,1.521,1.351,1.531,0.238046103,0.130655349,0.232742063,0.182129214,0.184975191,0.379668034,Subterranean
SYLC2W19,SYLC2,19,Formica glacialis,PF,1.674,1.728,2.149,1.483,1.294,1.499,0.223755454,0.111934276,0.237543738,0.171141151,0.175801633,0.332236415,Subterranean
SYLC2W20,SYLC2,20,Formica glacialis,PF,1.707,1.714,2.106,1.489,1.335,1.521,0.232233521,0.125481266,0.234010818,0.172894698,0.182129214,0.323458367,Subterranean
SYLC2W21,SYLC2,21,Formica glacialis,PF,1.789,1.698,2.207,1.555,1.377,1.556,0.252610341,0.13893394,0.229937686,0.191730393,0.192009593,0.343802333,Subterranean
SYLC2W22,SYLC2,22,Formica glacialis,PF,1.885,1.904,2.282,1.627,1.489,1.644,0.275311355,0.172894698,0.279666944,0.211387553,0.215901813,0.35831564,Subterranean
NHIC1W2,NHIC1,2,Formica glacialis,HC,1.703,1.726,2.138,1.497,1.308,1.506,0.231214648,0.116607744,0.237040791,0.1752218,0.177824972,0.330007701,Subterranean
NHIC1W3,NHIC1,3,Formica glacialis,HC,1.851,1.962,2.459,1.57,1.448,1.619,0.267406419,0.160768562,0.292699003,0.195899652,0.209246849,0.390758529,Subterranean
NHIC1W4,NHIC1,4,Formica glacialis,HC,1.806,1.911,2.255,1.56,1.366,1.556,0.256717746,0.135450699,0.281260687,0.193124598,0.192009593,0.353146546,Subterranean
NHIC1W5,NHIC1,5,Formica glacialis,HC,1.816,1.739,2.237,1.462,1.397,1.528,0.259115844,0.145196406,0.240299582,0.164947373,0.184123354,0.349665984,Subterranean
NHIC1W6,NHIC1,6,Formica glacialis,HC,1.816,1.829,2.404,1.586,1.443,1.608,0.259115844,0.159266331,0.262213705,0.200303183,0.206286044,0.380934463,Subterranean
