worker_ID,head width (mm),task,painted,,,,,
SYLC10W23,1.356,PF,N,,,,,
SYLC10W24,1.198,PF,N,,,,,
SYLC10W25,1.451,PF,N,,,,,
,,,,,,,,
SYLC16W2,1.071,HC,Y,podzolica,,,,
SYLC16W3,1.069,HC,Y,,,,,
SYLC16W4,1.394,HC,Y,,,,,
SYLC16W5,1.085,HC,Y,,,,,
SYLC16W6,1.344,HC,Y,,,,,
SYLC16W7,1.004,HC,Y,,,,,
SYLC16W8,1.065,HC,Y,,,,,
SYLC16W9,1.066,HC,Y,,,,,
SYLC16W10,1.485,NB,N,,,,,
SYLC16W11,1.527,NB,N,,,,,
SYLC16W12,1.415,NB,N,,,,,
SYLC16W13,1.481,NB,N,,,,,
SYLC16W14,1.479,NB,N,,,,,
SYLC16W15,1.402,PF,Y,,,,,
SYLC16W16,1.216,PF,N,,,,,
SYLC16W17,1.095,PF,N,,,,,
SYLC16W18,1.367,PF,N,,,,,
SYLC16W19,1.14,PF,N,,,,,
SYLC16W20,1.177,PF,N,,,,,
SYLC16W21,1.464,PF,N,,,,,
SYLC16W22,1.246,PF,N,,,,,
,,,,,,,,
SYLC15W2,1.481,HC,Y,ulkei,,,,
SYLC15W3,1.475,HC,Y,,,,,
SYLC15W4,1.417,HC,Y,,,,,
SYLC15W5,1.421,HC,Y,,,,,
SYLC15W6,1.416,HC,Y,,,,,
SYLC15W7,1.482,HC,Y,,,,,
SYLC15W8,1.378,HC,Y,,,,,
SYLC15W9,1.488,HC,Y,,,,,
SYLC15W10,1.443,NB,Y,,,,,
SYLC15W11,1.59,NB,Y,,,,,
SYLC15W12,1.575,NB,Y,,,,,
SYLC15W13,1.535,NB,Y,,,,,
SYLC15W14,1.423,NB,N,,,,,
SYLC15W15,1.427,NB,N,,,,,
SYLC15W16,1.516,NB,N,,,,,
SYLC15W17,1.539,NB,N,,,,,
SYLC15W18,1.33,PF,N,,,,,
SYLC15W19,1.58,PF,N,,,,,
SYLC15W20,1.544,PF,N,,,,,
SYLC15W21,1.502,PF,N,,,,,
SYLC15W22,1.592,PF,N,,,,,
SYLC15W23,1.562,PF,N,,,,,
SYLC15W24,1.529,PF,N,,,,,
,,,,,,,,
SYLC18W2,1.299,HC,Y,neoclara,,,,
SYLC18W3,1.306,HC,Y,,,,,
SYLC18W4,1.24,HC,Y,,,,,
SYLC18W5,1.425,HC,Y,,,,,
SYLC18W6,1.287,HC,Y,,,,,
SYLC18W7,1.169,HC,Y,,,,,
SYLC18W8,1.221,HC,Y,,,,,
SYLC18W9,1.215,HC,Y,,,,,
SYLC18W10,1.281,NB,N,,,,,
SYLC18W11,1.222,NB,N,,,,,
SYLC18W12,1.297,NB,N,,,,,
SYLC18W13,1.185,NB,N,,,,,
SYLC18W14,1.346,NB,N,,,,,
SYLC18W15,1.268,NB,N,,,,,
SYLC18W16,1.169,NB,N,,,,,
SYLC18W17,1.296,NB,N,,,,,
SYLC18W18,1.292,PF,Y,,,,,
SYLC18W19,1.322,PF,N,,,,,
SYLC18W20,1.406,PF,N,,,,,
SYLC18W21,1.263,PF,N,,,,,
SYLC18W22,1.386,PF,N,,,,,
SYLC18W23,1.195,PF,N,,,,,
SYLC18W24,1.253,PF,N,,,,,
SYLC18W25,1.228,PF,N,,,,,
,,,,,,,,
SYLC19W2,1.133,HC,Y,glacialis,,,,
SYLC19W3,1.232,HC,Y,,,,,
SYLC19W4,1.295,HC,Y,,,,,
SYLC19W5,1.19,HC,Y,,,,,
SYLC19W6,1.205,HC,Y,,,,,
SYLC19W7,1.036,HC,Y,,,,,
SYLC19W8,1.395,HC,Y,,,,,
SYLC19W9,1.267,HC,Y,,,,,
SYLC19W10,1.415,NB,Y,,,,,
SYLC19W11,1.136,NB,N,,,,,
SYLC19W12,1.426,NB,N,,,,,
SYLC19W13,1.293,NB,N,,,,,
SYLC19W14,1.193,NB,N,,,,,
SYLC19W15,1.129,NB,N,,,,,
SYLC19W16,1.296,NB,N,,,,,
SYLC19W17,1.271,NB,N,,,,,
SYLC19W18,1.361,PF,Y,,,,,
SYLC19W19,1.218,PF,N,,,,,
SYLC19W20,1.299,PF,N,,,,,
SYLC19W21,1.261,PF,N,,,,,
SYLC19W22,1.245,PF,N,,,,,
